indice,gauche,droit,texte,image
182,181,0,"Tu es tétanisé alors qu'elle se rapproche de toi comme un serpent. 
Ton phoenix s'envole de ton épaule. Un halo de flamme l'entour et une forte chaleur émane de lui. Soudain il projette d'énormes flammes sur la sirène qui se met à hurler.
Apres quelques seconde, il flotte dans l'air une odeur de poisson grillé. Ton phoenix se replace sur ton épaule et emet un petit son satisfait. Heureusement qu'il est avec toi !
Tu plonges la main dans l'eau là ou gît les cendres de la sirène et récupère la clé.
La grotte est baigné d'une lueure rouge et de fumé. Il te faut vite sortir si tu veux pouvoir respirer à nouveau",criquesirene.jpeg
183,184,0,Le joueur possède un patron de la clé pour ouvrir la porte de sortie finale.,none
184,185,0,"Tu décides de quitter cet endroit qui n’inspire pas confiance…
Tu prends un chemin pour partir à la recherche d’un village afin de trouver un moyen de forger cette fameuse clé.
Sur ton chemin, tu croises un serrurier nommé Sammede, qui a un problème donc il va avoir besoin de ton aide. Mais tu vas avoir la choix de l'aider ou pas.
",184.png
185,186,187,"'Bonjour mon ami, j’aurais un service à te demander si ça te dérange pas... Il faudrait que tu m'aides s'il-te-plaît' 
[GAUCHE] aider 
[DROITE] ne pas aider",184.png
186,188,0,"'Ooohh c’est très gentil de ta part, ça me touche. Je vais t’aider à mon tour dans ta quête en te faisant passer par un raccourcis pour accéder au village des elfes, c’est bien là que tu dois te rendre ?' (oui)",184.png
187,189,0," 'oh c’est bien dommage, vous comptez aller ou comme ça ?' (village de elfes)",184.png
188,190,0,"Arrivée au village des elfes accompagnés par le serrurier, le joueur part à la rechercher d'un forgeron pour faire sa clé. Lorsqu’il le trouve, il apprend qu’il lui faut une plume de phœnix donc il s’adresse à son compagnon pour lui léguer une de ces plumes, sans trop lui laisser de choix.
→ fabrication de la clé

",zoomvillagedeselfes.jpeg
189,191,0,"Vous acceptez donc ce bon repas, le savourez puis tout d’un coup vous êtes pris d’une forte migraine et commencez à être pris d’hallucinations, vous voyez votre environnement devenir rose clair, devenir flou et commencez à avoir une vision distordue de la réalité.",184.png
190,200,201,"Le joueur quitte le village des elfes et le narrateur demande : 'As-tu tout en main pour aller à la porte ?' 
[GAUCHE] oui 
[DROITE] non",villageelfes.jpeg
191,192,193,"'Toi humain, voudrais-tu manger un p’tit fruit en notre compagnie nous ne te voulons aucun mal ?' 
[GAUCHE] accepter le fruit 
[DROITE] refuser le fruit",196.png
192,194,0,"Tu ressens un gain de force et tu te sens invincible. Les monstres contents de ce moment partagé à tes côtés, vont lui donner une clé (soi-disant être la bonne clé, il n’a pas besoin de la forgé) et te guide vers l’arbre sacré ou tu devrai trouver le roi de la forêt.",196.png
193,195,0,les monstres se retrouvent vexés donc ils décident de se venger de ta méchanceté. ,196.png
194,196,0,"Tu tombes sur le Cerf (roi de la forêt) (enclenche quête de la porte). Le Cerf va
te guider jusqu’à une porte où derrière se trouve Izug.
",0.jpeg
195,197,0,Ils t’amènent dans une toute autre direction et te jettent dans un trou qui est enfaite un passage direct qui mène aux enfers. Cela te mène dans une incompréhension totale et tu restes bloqué dans les enfers pour le reste de ta vie.,cheminenferfinale.jpeg
196,198,0,"le combat va alors commencer entre le joueur et Izug
(gain de force avec les monstres → pas besoin de po°)",104.png
197,0,0,histoire bloqué,fintragique.jpg
198,199,0,"A la fin du combat, tu ne parviens pas à ouvrir correctement la porte de la sortie finale car tu n’as pas eu la bonne clé (celle des monstres) alors tu te retrouves dans une illusion crée par cette fausse clé et tu crois malgré tout être sortie de ce monde.",harche.jpg
199,0,0,histoire sans fin déclarée,fintragique.jpg
200,202,0,Tu pars en direction de la foret pour trouver la porte,foret.jpeg
201,216,0,"Tu viens de te souvenir que la sorcière t'avais demandé de repasser la voir pour obtenir les potions pour la suite
Sur ton chemin tu fais la rencontre  avec un groupe de créature >>>",none
202,203,204,"'Oh mais tu es nouveau dans le coin, toi on ne t'as pas vu encore'
Tu es du coin ?
Tu connais la sorcière, tu ne peux pas la louper, elle est tellement spéciale mais dans le fond elle reste gentille, tu sais...
On l'a considère comme notre deuxième mère
etc 
[GAUCHE] les ignorer 
[DROITE] les écouter",none
203,205,0,"Dans la forêt, le joueur fait la rencontre du Cerf sacré qui va le guider jusqu'à une porte intermédiaire avant de rejoindre la porte de sortie définitive.",0.jpeg
204,206,0,"Ah ouiiii, faut que j'aille la voir",none
205,207,0,"Tu constates que ta capacité physique ne te permet pas de passer face à ce gardien très imposant qui se tient devant toi, donc tu décides de communiquer avec lui pour gagner sa confiance.",104.png
206,208,0,"Tu as trop confiance en toi, donc tu décides de repousser Izug par le force",104.png
207,209,0,"'Vous travaillez pour quelqu'un monsieur l'ogre ?, votre vie n'a pas l'air heureuse j'aimerai pouvoir vous aider, qu'en pensez-vous de copérer avec moi Izug'",104.png
208,210,0,Tu te fais massacrer par le gardien et tu tombe dans les pommes  (Tu n'as plus qu'à retenter ta chance pour sortir),fintragique.jpg
209,211,0,Vous lui proposez de le laisser passer en lui garantissant qu'il sera libre après cet acte,104.png
210,0,0,Joueur tombe dans les pommes 'Game over',fintragique.jpg
211,212,0," Tu réalise soudain que ton phoenix ne va pas te suivre à travers le portail, il appartient à ce monde. L'oiseau se place alors sur le sol et soudain il s'embrase. Après quelques seconde, il ne reste de lui plus qu'une plume, aux couleurs de braise.
Sous le choc tu ne parviens plus à bouger. Pourquoi s'est il embrasé de la sorte ? 
Tu fais de nouveau face au portail. Il est temps de le franchir. Tu avances.",none
212,213,0,"Tu te réveilles soudainement et te redresses. Tu es allongé sur un canapé, dans un appartement, ton appartement.
Tu es sorti, tu es de retour dans ton monde. Cela n'était-il qu'un rêve ?
En regardant autour de toi, tu vois, posé sur ta table basse, un livre épais avec une couverture en cuire sombre. Le titre de l'ouvrage te fait comprendre comment mais sans pour autant t'apporter des réponses.",appartement.jpeg
213,0,0,"BRAVO, tu as réussi à sortir du livre et à rentrer chez toi. Si tu le souhaites, rejoues pour découvrir des éléments cachés ou d'autres fins ! (joueur est sorti)",none
214,215,0,"Lorsqu’il arriva devant sa maisonnette, il aperçut un message à côté de la porte avec un sac lui disant 'Désolé j’ai eu une affaire urgente à régler, je t’ai laissé dans ce sac les deux potions dont je t’avais parlé. Fais en bon usage et je te souhaite de réussir ! signé Edna'.",5.jpg
215,216,0,"Tu reprends ton chemin avec le sac fraichement récupéré, puis tu pars à la recherche de la porte pour sortir de ce monde inconnu. (la quête de la porte est lancée)
Dans la forêt, tu fais la rencontre du Cerf sacré qui va le guider jusqu'à une porte intermédiaire avant de rejoindre la porte de sortie définitive.",0.jpeg
216,217,218,"C’est le moment d’utiliser les potions de la sorcière et le moment d’être stratégique sachant qu’il ne sait pas ce qu’il se trouve derrière cette porte. 
[GAUCHE] potion feu 
[DROITE] potion plante",106.jpg
217,219,0," Tu bois cette potion oranger et tu te rends compte que t'es entrain de gagner énormément en force cela va te permettre de combattre Izug avec plus de chance de réussite.
Après ce combat fatiguant, tu parviens à atteindre la porte finale et tu perds les effets de la potion prise y a quelques minutes (sans avantage physique) et tu sors du monde fantastique !
Tu as réussi ton aventure d'une manière remarquable !",104.png
218,220,0," Tu bois cette potion bleutée et tu te rends compte que t'es entrain de gagner énormément en rapidité cela va te permettre de combattre Izug avec plus de chance de réussite.
Après ce combat fatiguant, tu parviens à atteindre la porte finale et tu perds les effets de la potion prise y a quelques minutes (sans avantage physique) et tu sors du monde fantastique !
Tu as réussi ton aventure d'une manière remarquable !",104.png
219,0,0,"BRAVO, tu as réussi à sortir du livre et à rentrer chez toi. Si tu le souhaites, rejoues pour découvrir des éléments cachés ou d'autres fins ! (joueur est sorti)",none
220,0,0,"BRAVO, tu as réussi à sortir du livre et à rentrer chez toi. Si tu le souhaites, rejoues pour découvrir des éléments cachés ou d'autres fins ! (joueur est sorti)",none
